"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2015Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",17.0,-9.6
"2015Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.6,-2.2
"2015Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",20.8,-7.8
"2015Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",17.4,-1.4
"2015Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",16.9,-9.5
"2015Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.5,-2.0
"2015Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",20.9,-7.5
"2015Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.5,-1.1
"2015Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",16.9,-8.2
"2015Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.5,-0.1
"2015Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",21.0,-4.4
"2015Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",17.6,3.1
"2016Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",16.0,-5.9
"2016Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,-3.7
"2016Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",20.4,-1.5
"2016Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",17.5,1.0
"2016Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",15.4,-9.5
"2016Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.5,-0.9
"2016Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",19.4,-6.7
"2016Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",17.5,0.6
"2016Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",15.2,-10.2
"2016Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,-1.6
"2016Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",18.9,-9.8
"2016Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.0,-3.1
"2016Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",15.2,-10.1
"2016Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,-1.6
"2016Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",19.0,-9.5
"2016Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",17.1,-2.8
